Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
PIH,"1347 Property Insurance Holdings, Inc.",7.8,$46.46M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih
TURN,180 Degree Capital Corp.,1.56,$48.55M,n/a,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/turn
FLWS,"1-800 FLOWERS.COM, Inc.",10,$653.35M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
FCCY,1st Constitution Bancorp (NJ),17.25,$138.47M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,46.16,$1.2B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",5.455,$616.96M,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",45.005,$2.14B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
JOBS,"51job, Inc.",44.13,$2.7B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
CAFD,8point3 Energy Partners LP,13.46,$1.06B,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd
EGHT,8x8 Inc,14.225,$1.3B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
AVHI,"A V Homes, Inc.",16.3,$365.8M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
SHLM,"A. Schulman, Inc.",30.05,$886.09M,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
AAON,"AAON, Inc.",37.325,$1.96B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
ABAX,"ABAXIS, Inc.",50.745,$1.15B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
ABEO,Abeona Therapeutics Inc.,5.375,$216.37M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,2.804,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow
ABIL,Ability Inc.,0.61,$15.71M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil
ABMD,"ABIOMED, Inc.",141.54,$6.2B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,1.8301,$299.86M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas
ACIU,AC Immune SA,8.83,$502.62M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu
ACIA,"Acacia Communications, Inc.",47.25,$1.83B,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,4,$202.35M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",43.68,$3.84B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,26.9,$3.28B,1985,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
ACST,"Acasti Pharma, Inc.",1.2933,$19.03M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",28.5,$1.56B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx
ACCP,"Accelerated Pharma, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/accp
ACCPW,"Accelerated Pharma, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/accpw
XLRN,Acceleron Pharma Inc.,28.85,$1.11B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn
ANCX,Access National Corporation,28.77,$584.21M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx
ARAY,Accuray Incorporated,4.2,$348.6M,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray
ACRX,"AcelRx Pharmaceuticals, Inc.",2.625,$119.12M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx
ACET,Aceto Corporation,14.76,$444.29M,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet
AKAO,"Achaogen, Inc.",21.91,$794.48M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao
ACHN,"Achillion Pharmaceuticals, Inc.",5.02,$686.35M,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
ACIW,"ACI Worldwide, Inc.",23.44,$2.77B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
ACRS,"Aclaris Therapeutics, Inc.",23.6,$630.91M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs
ACNB,ACNB Corporation,28.8,$174.73M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",15.2,$709.22M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
SQZZ,Active Alts Contrarian ETF,24.3285,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sqzz
ATVI,"Activision Blizzard, Inc",59.65,$44.96B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
ACTA,Actua Corporation,14.6,$490.49M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta
ACXM,Acxiom Corporation,26.75,$2.1B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
ADMS,"Adamas Pharmaceuticals, Inc.",16.9,$377.87M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms
ADMP,Adamis Pharmaceuticals Corporation,4.4786,$123.44M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp
ADAP,Adaptimmune Therapeutics plc,5.21,$487.11M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap
ADUS,Addus HomeCare Corporation,38.35,$444.99M,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus
AEY,"ADDvantage Technologies Group, Inc.",1.6601,$16.92M,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey
IOTS,Adesto Technologies Corporation,4.9,$77.61M,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots
ADMA,ADMA Biologics Inc,3.7499,$48.32M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma
ADBE,Adobe Systems Incorporated,143.41,$70.94B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
ADTN,"ADTRAN, Inc.",20.4,$985.8M,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn
ADRO,"Aduro Biotech, Inc.",10.2,$713.12M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro
AAAP,Advanced Accelerator Applications S.A.,35.58,$1.56B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap
ADES,"Advanced Emissions Solutions, Inc.",9.46,$210.91M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades
AEIS,"Advanced Energy Industries, Inc.",79.4,$3.16B,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis
AMD,"Advanced Micro Devices, Inc.",10.88,$10.28B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
ADXS,"Advaxis, Inc.",8.07,$325.18M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs
ADXSW,"Advaxis, Inc.",4.2885,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw
ADVM,"Adverum Biotechnologies, Inc.",2.7,$115.75M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/advm
MAUI,AdvisorShares Market Adaptive Unconstrained Income ETF,24.4612,$1.22M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/maui
AEGN,Aegion Corp,20.27,$678.87M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn
AGLE,"Aeglea BioTherapeutics, Inc.",4.27,$57.44M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agle
AEHR,Aehr Test Systems,4.3,$91.2M,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr
AMTX,"Aemetis, Inc",1.6,$31.51M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx
AERI,"Aerie Pharmaceuticals, Inc.",55.15,$1.85B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri
AVAV,"AeroVironment, Inc.",32.4,$759.95M,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav
AEZS,AEterna Zentaris Inc.,1.03,$14.76M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs
AEMD,"Aethlon Medical, Inc.",1.83,$16.1M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/aemd
GNMX,"Aevi Genomic Medicine, Inc.",1.23,$45.65M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/gnmx
AFMD,Affimed N.V.,2.2,$96.66M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/afmd
AGEN,Agenus Inc.,3.49,$345.92M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen
AGRX,"Agile Therapeutics, Inc.",3.64,$104.86M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx
AGYS,"Agilysys, Inc.",9.73,$226.01M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys
AGIO,"Agios Pharmaceuticals, Inc.",49.11,$2.37B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio
AGNC,AGNC Investment Corp.,20.85,$6.9B,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc
AGNCB,AGNC Investment Corp.,26.39,$9.14B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb
AGNCP,AGNC Investment Corp.,26,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncp
AGFS,"AgroFresh Solutions, Inc.",7.395,$371.83M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfs
AGFSW,"AgroFresh Solutions, Inc.",0.947,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfsw
AIMT,"Aimmune Therapeutics, Inc.",17.76,$894.09M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aimt
AIRT,"Air T, Inc.",19.4,$39.63M,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt
ATSG,"Air Transport Services Group, Inc",23.765,$1.41B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg
AIRG,"Airgain, Inc.",14.35,$136.62M,2016,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/airg
AMCN,AirMedia Group Inc,1.69,$105.11M,2007,Technology,Advertising,http://www.nasdaq.com/symbol/amcn
AKAM,"Akamai Technologies, Inc.",48.505,$8.39B,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam
AKTX,Akari Therapeutics Plc,6.67,$78.55M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aktx
AKBA,"Akebia Therapeutics, Inc.",13.82,$537.09M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba
AKER,Akers Biosciences Inc,1.4,$12.45M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/aker
AKRX,"Akorn, Inc.",33.27,$4.14B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx
AKTS,"Akoustis Technologies, Inc.",9.03,$172.25M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/akts
ALRM,"Alarm.com Holdings, Inc.",33.81,$1.57B,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/alrm
ALSK,"Alaska Communications Systems Group, Inc.",2.27,$118.81M,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk
AMRI,"Albany Molecular Research, Inc.",20.18,$866.36M,1999,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/amri
ALBO,"Albireo Pharma, Inc.",20.69,$182.54M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/albo
ABDC,Alcentra Capital Corp.,13.2,$177.37M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abdc
ADHD,Alcobra Ltd.,1.19,$32.8M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd
ALDR,"Alder BioPharmaceuticals, Inc.",17.475,$880.92M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr
ALDX,"Aldeyra Therapeutics, Inc.",5.45,$82.47M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldx
ALXN,"Alexion Pharmaceuticals, Inc.",101.785,$22.86B,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn
ALCO,"Alico, Inc.",30.3,$251.18M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco
ALGN,"Align Technology, Inc.",149.7199,$12.03B,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn
ALIM,"Alimera Sciences, Inc.",1.39,$90.21M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim
ALJJ,"ALJ Regional Holdings, Inc.",3.6,$124.47M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/aljj
ALKS,Alkermes plc,59.4,$9.1B,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks
ABTX,"Allegiance Bancshares, Inc.",38.5,$504.31M,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/abtx
ALGT,Allegiant Travel Company,139.35,$2.32B,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt
AIQ,"Alliance HealthCare Services, Inc.",13.2,$142.97M,2001,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aiq
AHGP,"Alliance Holdings GP, L.P.",28.06,$1.68B,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp
